original_name,updated_name
Hypoponera_sc_ambo_MAMI1406_CASENT0167156,Hypoponera_sc_ambo_MAMI1406_CASENT0167156
Hypoponera_sc_ampa_MAMI1407_CASENT0153158,Hypoponera_sc_ampa_MAMI1407_CASENT0153158
Hypoponera_sc_anda_MAMI1408_CASENT0044796,Hypoponera_sc_anda_MAMI1408_CASENT0044796
Hypoponera_sc_ando_MAMI1409_CASENT0478640,Hypoponera_sc_ando_MAMI1409_CASENT0478640
Hypoponera_sc_andr_MAMI1410_CASENT0196789,Hypoponera_sc_andr_MAMI1410_CASENT0196789
Hypoponera_sc_anja_MAMI1411_CASENT0196828,Hypoponera_sc_anja_MAMI1411_CASENT0196828
Hypoponera_sc_anka_MAMI1412_CASENT0440209,Hypoponera_sc_anka_MAMI1412_CASENT0440209
Hypoponera_sc_anos_MAMI1413_CASENT0393486,Hypoponera_sc_anos_MAMI1413_CASENT0393486
Hypoponera_sc_ant_MAMI1414_CASENT0872735,Hypoponera_sc_ant_MAMI1414_CASENT0872735
Hypoponera_sc_anta_MAMI1415_CASENT0201507,Hypoponera_sc_anta_MAMI1415_CASENT0201507
Hypoponera_sc_befa_MAMI1417_CASENT0150655,Hypoponera_sc_befa_MAMI1417_CASENT0150655
Hypoponera_sc_befi_MAMI1418_CASENT0872733,Hypoponera_sc_befi_MAMI1418_CASENT0872733
Hypoponera_sc_beka_MAMI1419_CASENT0043921,Hypoponera_sc_beka_MAMI1419_CASENT0043921
Hypoponera_sc_bema_MAMI1420_CASENT0719625,Hypoponera_sc_bema_MAMI1420_CASENT0719625
Hypoponera_sc_bere_MAMI1421_CASENT0015692,Hypoponera_sc_bere_MAMI1421_CASENT0015692
Hypoponera_sc_beta_MAMI1422_CASENT0068657,Hypoponera_sc_beta_MAMI1422_CASENT0068657
Hypoponera_sc_bina_MAMI1423_CASENT0043098,Hypoponera_sc_bina_MAMI1423_CASENT0043098
Hypoponera_sc_galo_MAMI1424_CASENT0373049,Hypoponera_sc_galo_MAMI1424_CASENT0373049
Hypoponera_sc_isa_MAMI1425_CASENT0036121,Hypoponera_sc_isa_MAMI1425_CASENT0036121
Hypoponera_sc_ivoh_MAMI1426_CASENT0872734,Hypoponera_sc_ivoh_MAMI1426_CASENT0872734
Hypoponera_sc_mah_MAMI1427_CASENT0072657,Hypoponera_sc_mah_MAMI1427_CASENT0072657
Hypoponera_sc_maha_MAMI1428_CASENT0465083,Hypoponera_sc_maha_MAMI1428_CASENT0465083
Hypoponera_sc_maham_MAMI1429_CASENT0478681,Hypoponera_sc_maham_MAMI1429_CASENT0478681
